city,location_lat,location_lng,numberOfGuests,minNights,bedroomLabel,bedLabel,bathroomLabel,stars,pricing,roomType_entire_home,roomType_hotel_room,roomType_private_room,roomType_shared_room,zipcode,district_index
Kadıköy,40.99555661,29.05124855,2,2,1.0,1.0,1.0,4.7,1500.0,1,0,0,0,34744,88.888
Esenyurt,41.02350513,28.6592935,4,2,1.0,1.0,1.0,4.92,1519.0,1,0,0,0,34517,21.250
Kartal,40.915454,29.18866775,4,5,1.0,0.0,1.0,5.0,1495.0,1,0,0,0,34862,43.030
Beyoğlu,41.03542,28.98614,2,100,1.0,1.0,1.0,4.89,1518.0,1,0,0,0,34421,60.000
Adalar,40.877,29.1,2,1,3.0,3.0,3.0,4.6,1621.0,0,0,1,0,34975,68.133
Şişli,41.04763584,28.98571824,2,14,2.0,2.0,1.0,5.0,1605.0,1,0,0,0,34360,54.677
Beyoğlu,41.0296,28.98007,3,2,1.0,2.0,1.0,4.95,1605.0,1,0,0,0,34421,60.000
Üsküdar,41.022,29.015,4,2,1.0,0.0,1.0,4.79,1605.0,1,0,0,0,34660,61.428 
Kadıköy,40.99324,29.02759,3,1,1.0,0.0,1.0,5.0,1614.0,1,0,0,0,34744,88.888
Beyoğlu,41.03765605,28.97481811,2,1,1.0,1.0,1.0,5.0,1619.0,1,0,0,0,34421,60.000
Beyoğlu,41.029,28.98,4,1,1.0,2.0,1.0,4.76,1579.0,1,0,0,0,34421,60.000
Kadıköy,40.9892,29.03272,3,1,1.0,1.0,1.0,4.75,1586.0,1,0,0,0,34744,88.888
,41.023,28.816,2,101,,0.0,1.0,5.0,1604.0,1,0,0,0,34209.0,
Beyoğlu,41.03606,28.97488,4,3,1.0,3.0,1.0,4.77,1569.0,1,0,0,0,34421,60.000
Beyoğlu,41.0361,28.98073,2,1,1.0,0.0,1.0,4.92,1597.0,0,0,1,0,34421,60.000
Fatih,41.032,28.944,3,2,1.0,0.0,1.0,4.79,1600.0,1,0,0,0,34096,32.000
Beyoğlu,41.02359,28.97849,2,1,1.0,1.0,1.0,4.59,1613.0,0,0,1,0,34421,60.000
,41.06022,28.98411,2,1,,1.0,1.0,4.48,1605.0,1,0,0,0,34381.0,
Beşiktaş,41.055,29.026,3,2,1.0,2.0,1.0,4.75,1573.0,1,0,0,0,34353,88.235
Kadıköy,40.993,29.028,3,2,1.0,4.0,1.0,4.83,1571.0,0,0,1,0,34744,88.888
Bahçelievler,41.00559,28.81202,3,100,1.0,1.0,1.0,4.57,1605.0,1,0,0,0,34180,31.666
Fatih,41.037,28.944,3,101,1.0,1.0,1.0,4.81,900.0,1,0,0,0,34096,32.000
Kadıköy,41.01,29.045,2,3,1.0,0.0,1.0,4.92,942.0,0,0,1,0,34744,88.888
Küçükçekmece,41.059,28.797,3,101,1.0,1.0,1.0,4.89,903.0,1,0,0,0,34307,34.347
Esenler,41.04,28.882,6,28,3.0,3.0,1.0,5.0,932.0,1,0,0,0,34230,33.871
Beyoğlu,41.035,28.973,4,1,2.0,2.0,1.0,4.75,947.0,1,0,0,0,34421,60.000
Fatih,41.008,28.965,2,6,2.0,4.0,1.0,4.5,854.0,1,0,0,0,34096,32.000
Şişli,41.049,28.985,2,1,1.0,0.0,1.0,4.86,872.0,0,0,1,0,34360,54.677
Beyoğlu,41.03812,28.97746,2,3,1.0,1.0,1.0,4.5,899.0,1,0,0,0,34421,60.000
Beyoğlu,41.03935,28.98171,2,2,1.0,0.0,1.0,4.33,871.0,1,0,0,0,34421,60.000
Küçükçekmece,40.9897,28.78011,1,1,1.0,1.0,1.0,4.94,872.0,0,0,1,0,34307,34.347
Tekirdağ,41.007,27.983,3,90,1.0,2.0,1.0,4.11,931.0,1,0,0,0,,
Beyoğlu,41.03859,28.97756,2,3,,0.0,1.0,4.76,945.0,1,0,0,0,34421,60.000
İstanbul/Aksaray,41.01058,28.9411,3,105,2.0,2.0,1.0,4.67,900.0,1,0,0,0,34096.0,
34415,41.03647,28.97799,2,1,1.0,0.0,1.0,3.63,910.0,1,0,0,0,34435.0,
Fatih,41.004,28.97,3,1,1.0,0.0,1.0,3.0,897.0,0,0,1,0,34096,32.000
Istanbul,41.03134,28.97118,5,101,2.0,5.0,1.0,4.54,872.0,1,0,0,0,34430.0,
